collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,50,hybrid,colbert,0.88,0.4673,0.57,43.78,55.32,608.55,58.99
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,100,hybrid,colbert,0.9,0.4893,0.5909,45.7,55.67,58.51,55.38
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,25,hybrid,colbert,0.9,0.4634,0.57,42.12,48.88,57.67,58.4
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,50,hybrid,colbert,0.92,0.4945,0.5981,43.08,50.97,57.44,57.1
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,100,hybrid,colbert,0.93,0.5227,0.6215,45.32,55.24,60.06,59.19
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,25,hybrid,cross-encoder,0.88,0.4582,0.5611,1248.22,3110.48,3446.12,0.57
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,50,hybrid,cross-encoder,0.87,0.4812,0.5762,3192.14,6364.74,6479.78,0.25
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,100,hybrid,cross-encoder,0.86,0.4782,0.5721,7927.83,12667.72,12885.14,0.12
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,25,hybrid,cross-encoder,0.89,0.4704,0.5724,1641.13,3069.45,3269.84,0.52
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,50,hybrid,cross-encoder,0.93,0.4967,0.5996,3743.89,6395.16,6537.16,0.25
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,100,hybrid,cross-encoder,0.92,0.4714,0.5793,7233.0,12631.44,12747.67,0.12
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,25,hybrid,rrf,0.85,0.4206,0.5242,26.43,30.93,41.04,263.0
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,50,hybrid,rrf,0.84,0.4273,0.527,26.45,28.9,36.31,280.54
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,100,hybrid,rrf,0.83,0.4418,0.5359,26.11,31.82,38.19,288.35
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,25,hybrid,rrf,0.89,0.39,0.5094,25.71,29.31,34.97,163.01
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,50,hybrid,rrf,0.89,0.4366,0.5441,26.83,30.69,44.97,287.05
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,100,hybrid,rrf,0.89,0.4276,0.5373,27.08,30.94,38.04,281.63
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,25,sparseonly,colbert,0.85,0.4356,0.5386,39.37,44.86,51.52,65.93
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,50,sparseonly,colbert,0.89,0.4902,0.5893,41.03,50.37,61.92,66.26
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,100,sparseonly,colbert,0.87,0.4623,0.5633,42.99,52.35,55.63,66.23
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,25,sparseonly,colbert,0.86,0.5167,0.6018,40.28,49.78,105.7,66.18
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,50,sparseonly,colbert,0.89,0.5049,0.6003,41.22,46.79,50.93,65.98
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,100,sparseonly,colbert,0.9,0.4851,0.5873,44.43,53.34,64.21,64.82
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,25,sparseonly,cross-encoder,0.86,0.4666,0.5634,1799.9,3201.2,3480.71,0.54
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,50,sparseonly,cross-encoder,0.89,0.4941,0.591,4126.01,6377.22,6446.63,0.24
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,100,sparseonly,cross-encoder,0.85,0.4551,0.5526,8131.31,12584.63,12963.42,0.12
