collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,50,hybrid,rrf,0.934,0.6456,0.7156,26.17,29.9,32.32,292.69
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,100,hybrid,rrf,0.934,0.646,0.7158,26.05,29.42,31.0,292.6
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,25,hybrid,rrf,0.956,0.6483,0.722,26.66,30.73,34.98,284.63
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,50,hybrid,rrf,0.954,0.6503,0.723,26.81,31.09,36.58,292.06
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,100,hybrid,rrf,0.952,0.6468,0.72,27.01,30.59,36.67,291.45
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,25,sparseonly,colbert,0.876,0.6775,0.7261,36.43,41.6,46.98,67.86
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,50,sparseonly,colbert,0.898,0.6876,0.7392,38.33,44.97,50.41,68.58
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,100,sparseonly,colbert,0.918,0.6987,0.7525,38.49,45.99,98.19,69.92
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,25,sparseonly,colbert,0.882,0.678,0.7278,39.64,94.3,101.0,69.82
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,50,sparseonly,colbert,0.908,0.6884,0.7418,40.78,99.51,130.98,69.94
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,100,sparseonly,colbert,0.928,0.6995,0.755,41.16,99.67,101.66,70.25
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,25,sparseonly,cross-encoder,0.876,0.6755,0.7248,386.71,930.62,1134.21,1.92
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,50,sparseonly,cross-encoder,0.898,0.6916,0.7425,1067.82,2163.11,2675.34,0.88
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,100,sparseonly,cross-encoder,0.916,0.6999,0.7532,2035.01,4045.48,4585.32,0.44
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,25,sparseonly,cross-encoder,0.882,0.676,0.7264,496.29,949.8,1151.89,1.96
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,50,sparseonly,cross-encoder,0.908,0.6924,0.7451,973.58,2189.61,2483.72,0.89
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,100,sparseonly,cross-encoder,0.93,0.701,0.7569,2059.63,4037.24,4723.24,0.45
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,25,hybrid,colbert,0.944,0.7152,0.7714,41.56,59.35,70.94,60.15
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,50,hybrid,colbert,0.952,0.7142,0.7723,39.98,46.65,62.19,62.63
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,100,hybrid,colbert,0.954,0.7141,0.7726,40.74,52.23,64.06,62.9
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,25,hybrid,colbert,0.96,0.7165,0.7756,89.68,100.51,101.57,60.47
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,50,hybrid,colbert,0.97,0.7155,0.777,89.74,100.85,101.64,60.31
